city,date,dl_applied,eliminator,overs,player_of_match,result,season,team1,team2,toss_decision,toss_winner,umpire1,umpire2,umpire3,venue,win_by_runs,win_by_wickets,winner
Pune,2015-04-10,,,20,JP Faulkner,,2015,Kings XI Punjab,Rajasthan Royals,field,Kings XI Punjab,SD Fry,CB Gaffaney,,Maharashtra Cricket Association Stadium,26,,Rajasthan Royals
Durban,2009-05-20,,,20,M Muralitharan,,2009,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,BG Jerling,SJA Taufel,,Kingsmead,24,,Chennai Super Kings
Kolkata,2016-05-16,,,20,V Kohli,,2016,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CB Gaffaney,A Nand Kishore,,Eden Gardens,,9,Royal Challengers Bangalore
Durban,2009-05-20,,,20,LR Shukla,,2009,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,BG Jerling,SJA Taufel,,Kingsmead,,4,Kolkata Knight Riders
Mumbai,2008-05-21,,,20,SE Marsh,,2008,Mumbai Indians,Kings XI Punjab,field,Mumbai Indians,BF Bowden,GA Pratapkumar,,Wankhede Stadium,1,,Kings XI Punjab
Mumbai,2010-04-03,,,20,AT Rayudu,,2010,Mumbai Indians,Deccan Chargers,bat,Mumbai Indians,BR Doctrove,S Ravi,,Brabourne Stadium,63,,Mumbai Indians
Kolkata,2013-04-26,,,20,JH Kallis,,2013,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,CK Nandan,S Ravi,,Eden Gardens,,6,Kolkata Knight Riders
Chandigarh,2013-05-06,,,20,DA Miller,,2013,Kings XI Punjab,Royal Challengers Bangalore,field,Kings XI Punjab,VA Kulkarni,NJ Llong,,"Punjab Cricket Association Stadium, Mohali",,6,Kings XI Punjab
Ahmedabad,2015-04-24,,,20,MA Starc,,2015,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Erasmus,S Ravi,,"Sardar Patel Stadium, Motera",,9,Royal Challengers Bangalore
Delhi,2012-05-07,,,20,JH Kallis,,2012,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,JD Cloete,S Ravi,,Feroz Shah Kotla,,6,Kolkata Knight Riders
Bengaluru,2019-04-24,,,20,AB de Villiers,,2019,Royal Challengers Bangalore,Kings XI Punjab,field,Kings XI Punjab,C Shamshuddin,BNJ Oxenford,,M.Chinnaswamy Stadium,17,,Royal Challengers Bangalore
Mumbai,2019-04-10,,,20,KA Pollard,,2019,Mumbai Indians,Kings XI Punjab,field,Mumbai Indians,YC Barde,S Ravi,,Wankhede Stadium,,3,Mumbai Indians
Jaipur,2013-04-29,,,20,SV Samson,,2013,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,M Erasmus,K Srinath,,Sawai Mansingh Stadium,,4,Rajasthan Royals
Mumbai,2013-05-15,,,20,AP Tare,,2013,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,Asad Rauf,S Asnani,,Wankhede Stadium,14,,Mumbai Indians
Cuttack,2014-05-14,,,20,RV Uthappa,,2014,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,AK Chaudhary,NJ Llong,,Barabati Stadium,,6,Kolkata Knight Riders
Kolkata,2019-04-19,,,20,V Kohli,,2019,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,IJ Gould,Nitin Menon,,Eden Gardens,10,,Royal Challengers Bangalore
Mumbai,2018-05-27,,,20,SR Watson,,2018,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,M Erasmus,S Ravi,,Wankhede Stadium,,8,Chennai Super Kings
Bangalore,2012-05-02,,,20,Azhar Mahmood,,2012,Royal Challengers Bangalore,Kings XI Punjab,field,Kings XI Punjab,BF Bowden,C Shamshuddin,,M Chinnaswamy Stadium,,4,Kings XI Punjab
Delhi,2008-04-30,,,20,GD McGrath,,2008,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Aleem Dar,I Shivram,,Feroz Shah Kotla,10,,Delhi Daredevils
Bloemfontein,2009-05-15,,,20,B Lee,,2009,Delhi Daredevils,Kings XI Punjab,field,Kings XI Punjab,HDPK Dharmasena,IL Howell,,OUTsurance Oval,,6,Kings XI Punjab
Bangalore,2016-05-14,,,20,AB de Villiers,,2016,Royal Challengers Bangalore,Gujarat Lions,field,Gujarat Lions,AY Dandekar,VK Sharma,,M Chinnaswamy Stadium,144,,Royal Challengers Bangalore
Centurion,2009-05-12,,,20,LRPL Taylor,,2009,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,M Erasmus,SS Hazare,,SuperSport Park,,6,Royal Challengers Bangalore
Mumbai,2017-04-12,,,20,JJ Bumrah,,2017,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,Nitin Menon,CK Nandan,,Wankhede Stadium,,4,Mumbai Indians
Hyderabad,2019-04-06,,,20,AS Joseph,,2019,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,AY Dandekar,Nitin Menon,,"Rajiv Gandhi International Stadium, Uppal",40,,Mumbai Indians
Bangalore,2008-04-26,,,20,SR Watson,,2008,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,MR Benson,IL Howell,,M Chinnaswamy Stadium,,7,Rajasthan Royals
Ranchi,2014-05-13,,,20,RA Jadeja,,2014,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,BNJ Oxenford,C Shamshuddin,,JSCA International Stadium Complex,,5,Chennai Super Kings
Hyderabad,2013-05-19,,,20,PA Patel,,2013,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,Asad Rauf,S Asnani,,"Rajiv Gandhi International Stadium, Uppal",,5,Sunrisers Hyderabad
Delhi,2011-04-26,,,20,V Kohli,,2011,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore,S Asnani,RJ Tucker,,Feroz Shah Kotla,,3,Royal Challengers Bangalore
Chennai,2015-04-11,,,20,BB McCullum,,2015,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,RK Illingworth,VA Kulkarni,,"MA Chidambaram Stadium, Chepauk",45,,Chennai Super Kings
Chennai,2019-04-06,,,20,Harbhajan Singh,,2019,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,KN Ananthapadmanabhan,RJ Tucker,,"MA Chidambaram Stadium, Chepauk",22,,Chennai Super Kings
Chandigarh,2008-04-27,,,20,SM Katich,,2008,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,RE Koertzen,I Shivram,,"Punjab Cricket Association Stadium, Mohali",,4,Kings XI Punjab
Bangalore,2017-04-16,,,20,BA Stokes,,2017,Royal Challengers Bangalore,Rising Pune Supergiant,field,Royal Challengers Bangalore,KN Ananthapadmanabhan,C Shamshuddin,,M Chinnaswamy Stadium,27,,Rising Pune Supergiant
Mumbai,2012-04-06,,,20,SPD Smith,,2012,Mumbai Indians,Pune Warriors,field,Mumbai Indians,AK Chaudhary,SJA Taufel,,Wankhede Stadium,28,,Pune Warriors
Chandigarh,2011-04-21,,,20,SE Marsh,,2011,Kings XI Punjab,Rajasthan Royals,field,Rajasthan Royals,S Asnani,PR Reiffel,,"Punjab Cricket Association Stadium, Mohali",48,,Kings XI Punjab
Visakhapatnam,2015-04-22,D/L,,20,DA Warner,,2015,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,RK Illingworth,VA Kulkarni,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,16,,Sunrisers Hyderabad
Kolkata,2016-05-08,,,20,P Kumar,,2016,Kolkata Knight Riders,Gujarat Lions,field,Gujarat Lions,M Erasmus,RJ Tucker,,Eden Gardens,,5,Gujarat Lions
Cuttack,2010-03-21,,,20,A Symonds,,2010,Deccan Chargers,Delhi Daredevils,bat,Deccan Chargers,BF Bowden,M Erasmus,,Barabati Stadium,10,,Deccan Chargers
Mumbai,2016-04-20,,,20,RG Sharma,,2016,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,AK Chaudhary,CK Nandan,,Wankhede Stadium,,6,Mumbai Indians
Mumbai,2017-04-09,,,20,N Rana,,2017,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,Nitin Menon,CK Nandan,,Wankhede Stadium,,4,Mumbai Indians
Jaipur,2019-03-25,,,20,CH Gayle,,2019,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,KN Ananthapadmanabhan,C Shamshuddin,,Sawai Mansingh Stadium,14,,Kings XI Punjab
Hyderabad,2008-05-27,,,20,SK Raina,,2008,Deccan Chargers,Chennai Super Kings,bat,Deccan Chargers,BG Jerling,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal",,7,Chennai Super Kings
Chandigarh,2010-03-27,,,20,MK Tiwary,,2010,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,BR Doctrove,S Ravi,,"Punjab Cricket Association Stadium, Mohali",39,,Kolkata Knight Riders
Ahmedabad,2014-05-15,,,20,AM Rahane,,2014,Rajasthan Royals,Delhi Daredevils,field,Delhi Daredevils,S Ravi,RJ Tucker,,"Sardar Patel Stadium, Motera",62,,Rajasthan Royals
Jaipur,2011-05-01,,,20,LRPL Taylor,,2011,Rajasthan Royals,Pune Warriors,field,Rajasthan Royals,SK Tarapore,SJA Taufel,,Sawai Mansingh Stadium,,6,Rajasthan Royals
Dharamsala,2011-05-17,,,20,AC Gilchrist,,2011,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,Asad Rauf,AM Saheba,,Himachal Pradesh Cricket Association Stadium,111,,Kings XI Punjab
Hyderabad,2019-04-17,,,20,DA Warner,,2019,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,UV Gandhe,IJ Gould,,"Rajiv Gandhi International Stadium, Uppal",,6,Sunrisers Hyderabad
Cuttack,2012-05-01,,,20,KC Sangakkara,,2012,Deccan Chargers,Pune Warriors,bat,Deccan Chargers,Aleem Dar,AK Chaudhary,,Barabati Stadium,13,,Deccan Chargers
Indore,2017-04-20,,,20,JC Buttler,,2017,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,M Erasmus,C Shamshuddin,,Holkar Cricket Stadium,,8,Mumbai Indians
Mumbai,2017-05-16,,,20,Washington Sundar,,2017,Mumbai Indians,Rising Pune Supergiant,field,Mumbai Indians,S Ravi,C Shamshuddin,,Wankhede Stadium,20,,Rising Pune Supergiant
Kolkata,2014-05-27,,,20,UT Yadav,,2014,Kings XI Punjab,Kolkata Knight Riders,field,Kings XI Punjab,NJ Llong,S Ravi,,Eden Gardens,28,,Kolkata Knight Riders
Kolkata,2013-04-24,,,20,DR Smith,,2013,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,HDPK Dharmasena,S Ravi,,Eden Gardens,,5,Mumbai Indians
Bangalore,2011-04-29,,,20,V Kohli,,2011,Royal Challengers Bangalore,Pune Warriors,field,Pune Warriors,Aleem Dar,SS Hazare,,M Chinnaswamy Stadium,26,,Royal Challengers Bangalore
Mumbai,2015-04-25,,,20,SL Malinga,,2015,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,HDPK Dharmasena,CB Gaffaney,,Wankhede Stadium,20,,Mumbai Indians
Kolkata,2011-05-22,,,20,JEC Franklin,,2011,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,SK Tarapore,SJA Taufel,,Eden Gardens,,5,Mumbai Indians
Pune,2017-04-22,,,20,MS Dhoni,,2017,Rising Pune Supergiant,Sunrisers Hyderabad,field,Rising Pune Supergiant,AY Dandekar,A Deshmukh,,Maharashtra Cricket Association Stadium,,6,Rising Pune Supergiant
Kanpur,2017-05-10,,,20,SS Iyer,,2017,Gujarat Lions,Delhi Daredevils,field,Delhi Daredevils,YC Barde,AK Chaudhary,,Green Park,,2,Delhi Daredevils
Jaipur,2008-04-21,,,20,SR Watson,,2008,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,Aleem Dar,RB Tiffin,,Sawai Mansingh Stadium,,6,Rajasthan Royals
Mumbai,2010-03-30,,,20,SL Malinga,,2010,Mumbai Indians,Kings XI Punjab,field,Mumbai Indians,BR Doctrove,SK Tarapore,,Brabourne Stadium,,4,Mumbai Indians
Delhi,2008-05-17,D/L,,20,DPMD Jayawardene,,2008,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,AV Jayaprakash,RE Koertzen,,Feroz Shah Kotla,6,,Kings XI Punjab
Hyderabad,2016-05-06,,,20,B Kumar,,2016,Sunrisers Hyderabad,Gujarat Lions,field,Sunrisers Hyderabad,M Erasmus,S Ravi,,"Rajiv Gandhi International Stadium, Uppal",,5,Sunrisers Hyderabad
Johannesburg,2009-05-24,,,20,A Kumble,,2009,Royal Challengers Bangalore,Deccan Chargers,field,Royal Challengers Bangalore,RE Koertzen,SJA Taufel,,New Wanderers Stadium,6,,Deccan Chargers
Delhi,2010-04-18,,,20,A Symonds,,2010,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,BR Doctrove,SK Tarapore,,Feroz Shah Kotla,11,,Deccan Chargers
Kolkata,2010-04-01,,,20,SC Ganguly,,2010,Kolkata Knight Riders,Deccan Chargers,bat,Kolkata Knight Riders,K Hariharan,DJ Harper,,Eden Gardens,24,,Kolkata Knight Riders
Kolkata,2008-05-18,D/L,,20,M Ntini,,2008,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,Asad Rauf,K Hariharan,,Eden Gardens,3,,Chennai Super Kings
Hyderabad,2016-04-23,,,20,Mustafizur Rahman,,2016,Sunrisers Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,AK Chaudhary,CK Nandan,,"Rajiv Gandhi International Stadium, Uppal",,5,Sunrisers Hyderabad
Jaipur,2011-04-12,,,20,SK Warne,,2011,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,Aleem Dar,RB Tiffin,,Sawai Mansingh Stadium,,6,Rajasthan Royals
Delhi,2015-05-01,,,20,NM Coulter-Nile,,2015,Delhi Daredevils,Kings XI Punjab,field,Delhi Daredevils,RK Illingworth,S Ravi,,Feroz Shah Kotla,,9,Delhi Daredevils
Chandigarh,2011-05-10,,,20,BA Bhatt,,2011,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,SK Tarapore,RJ Tucker,,"Punjab Cricket Association Stadium, Mohali",76,,Kings XI Punjab
Chandigarh,2017-04-28,,,20,Rashid Khan,,2017,Kings XI Punjab,Sunrisers Hyderabad,field,Kings XI Punjab,Nitin Menon,CK Nandan,,"Punjab Cricket Association IS Bindra Stadium, Mohali",26,,Sunrisers Hyderabad
Centurion,2009-04-28,,,20,YK Pathan,,2009,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,GAV Baxter,RE Koertzen,,SuperSport Park,,5,Rajasthan Royals
Kolkata,2018-05-15,,,20,Kuldeep Yadav,,2018,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,HDPK Dharmasena,AK Chaudhary,,Eden Gardens,,6,Kolkata Knight Riders
Bangalore,2012-05-23,,,20,MS Dhoni,,2012,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,BF Bowden,HDPK Dharmasena,,M Chinnaswamy Stadium,38,,Chennai Super Kings
Pune,2013-04-17,,,20,A Mishra,,2013,Pune Warriors,Sunrisers Hyderabad,field,Pune Warriors,Asad Rauf,AK Chaudhary,,Subrata Roy Sahara Stadium,11,,Sunrisers Hyderabad
Ahmedabad,2015-04-19,,,20,AM Rahane,,2015,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,AK Chaudhary,M Erasmus,,"Sardar Patel Stadium, Motera",,8,Rajasthan Royals
Kolkata,2011-04-11,,,20,JH Kallis,,2011,Kolkata Knight Riders,Deccan Chargers,bat,Kolkata Knight Riders,RE Koertzen,SK Tarapore,,Eden Gardens,9,,Kolkata Knight Riders
Mumbai,2011-05-14,,,20,A Mishra,,2011,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,S Ravi,SK Tarapore,,Wankhede Stadium,10,,Deccan Chargers
Kolkata,2014-05-22,,,20,RV Uthappa,,2014,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,AK Chaudhary,CK Nandan,,Eden Gardens,30,,Kolkata Knight Riders
Pune,2017-04-29,,,20,LH Ferguson,,2017,Rising Pune Supergiant,Royal Challengers Bangalore,field,Royal Challengers Bangalore,KN Ananthapadmanabhan,M Erasmus,,Maharashtra Cricket Association Stadium,61,,Rising Pune Supergiant
Chennai,2012-05-27,,,20,MS Bisla,,2012,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,BF Bowden,SJA Taufel,,"MA Chidambaram Stadium, Chepauk",,5,Kolkata Knight Riders
Chandigarh,2015-05-13,,,20,AR Patel,,2015,Kings XI Punjab,Royal Challengers Bangalore,field,Royal Challengers Bangalore,JD Cloete,C Shamshuddin,,"Punjab Cricket Association Stadium, Mohali",22,,Kings XI Punjab
Chennai,2008-05-10,,,20,L Balaji,,2008,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,AV Jayaprakash,BG Jerling,,"MA Chidambaram Stadium, Chepauk",18,,Chennai Super Kings
Dharamsala,2010-04-16,,,20,RG Sharma,,2010,Kings XI Punjab,Deccan Chargers,field,Deccan Chargers,M Erasmus,AM Saheba,,Himachal Pradesh Cricket Association Stadium,,5,Deccan Chargers
Johannesburg,2009-05-03,,,20,JH Kallis,,2009,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,RE Koertzen,TH Wijewardene,,New Wanderers Stadium,,9,Royal Challengers Bangalore
Jaipur,2018-04-11,D/L,,20,SV Samson,,2018,Rajasthan Royals,Delhi Daredevils,field,Delhi Daredevils,KN Ananthapadmanabhan,Nitin Menon,,Sawai Mansingh Stadium,10,,Rajasthan Royals
Kolkata,2016-04-10,,,20,AD Russell,,2016,Kolkata Knight Riders,Delhi Daredevils,field,Kolkata Knight Riders,S Ravi,C Shamshuddin,,Eden Gardens,,9,Kolkata Knight Riders
Hyderabad,2018-05-07,,,20,KS Williamson,,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BNJ Oxenford,VK Sharma,,"Rajiv Gandhi International Stadium, Uppal",5,,Sunrisers Hyderabad
Hyderabad,2008-05-11,,,20,SC Ganguly,,2008,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,IL Howell,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal",23,,Kolkata Knight Riders
Abu Dhabi,2014-04-29,,Rajasthan Royals,20,JP Faulkner,tie,2014,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,Aleem Dar,AK Chaudhary,,Sheikh Zayed Stadium,,,
Nagpur,2010-04-12,,,20,Harmeet Singh,,2010,Deccan Chargers,Royal Challengers Bangalore,field,Royal Challengers Bangalore,RE Koertzen,RB Tiffin,,"Vidarbha Cricket Association Stadium, Jamtha",13,,Deccan Chargers
Delhi,2016-04-30,,,20,CR Brathwaite,,2016,Delhi Daredevils,Kolkata Knight Riders,field,Kolkata Knight Riders,KN Ananthapadmanabhan,M Erasmus,,Feroz Shah Kotla,27,,Delhi Daredevils
Mumbai,2018-04-07,,,20,DJ Bravo,,2018,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,CB Gaffaney,A Nand Kishore,,Wankhede Stadium,,1,Chennai Super Kings
Kolkata,2017-05-03,,,20,RA Tripathi,,2017,Kolkata Knight Riders,Rising Pune Supergiant,field,Rising Pune Supergiant,KN Ananthapadmanabhan,A Nand Kishore,,Eden Gardens,,4,Rising Pune Supergiant
Jaipur,2013-05-12,,,20,SR Watson,,2013,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,HDPK Dharmasena,CK Nandan,,Sawai Mansingh Stadium,,5,Rajasthan Royals
Delhi,2011-04-19,,,20,S Sohal,,2011,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,PR Reiffel,RJ Tucker,,Feroz Shah Kotla,16,,Deccan Chargers
Hyderabad,2011-05-05,,,20,V Sehwag,,2011,Deccan Chargers,Delhi Daredevils,field,Delhi Daredevils,Asad Rauf,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal",,4,Delhi Daredevils
Chandigarh,2015-05-03,,,20,LMP Simmons,,2015,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians,RK Illingworth,VA Kulkarni,,"Punjab Cricket Association Stadium, Mohali",23,,Mumbai Indians
Chandigarh,2012-04-25,,,20,AT Rayudu,,2012,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,Aleem Dar,BNJ Oxenford,,"Punjab Cricket Association Stadium, Mohali",,4,Mumbai Indians
Bangalore,2017-05-07,,,20,SP Narine,,2017,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,AY Dandekar,C Shamshuddin,,M Chinnaswamy Stadium,,6,Kolkata Knight Riders
Chennai,2011-04-16,,,20,MEK Hussey,,2011,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,HDPK Dharmasena,AL Hill,,"MA Chidambaram Stadium, Chepauk",21,,Chennai Super Kings
Visakhapatnam,2015-04-16,,,20,AM Rahane,,2015,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,PG Pathak,S Ravi,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,,6,Rajasthan Royals
Delhi,2014-05-03,,,20,KK Nair,,2014,Delhi Daredevils,Rajasthan Royals,field,Rajasthan Royals,SS Hazare,S Ravi,,Feroz Shah Kotla,,7,Rajasthan Royals
Bangalore,2011-05-06,,,20,CH Gayle,,2011,Royal Challengers Bangalore,Kings XI Punjab,field,Kings XI Punjab,Aleem Dar,RB Tiffin,,M Chinnaswamy Stadium,85,,Royal Challengers Bangalore
Bangalore,2014-05-24,,,20,MS Dhoni,,2014,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,AK Chaudhary,NJ Llong,,M Chinnaswamy Stadium,,8,Chennai Super Kings
Rajkot,2016-04-14,,,20,AJ Finch,,2016,Gujarat Lions,Rising Pune Supergiants,bat,Rising Pune Supergiants,VA Kulkarni,CK Nandan,,Saurashtra Cricket Association Stadium,,7,Gujarat Lions
Mumbai,2018-04-17,,,20,RG Sharma,,2018,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,RJ Tucker,Nitin Menon,,Wankhede Stadium,46,,Mumbai Indians
Kolkata,2010-04-07,,,20,SC Ganguly,,2010,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,BG Jerling,RE Koertzen,,Eden Gardens,14,,Kolkata Knight Riders
Ahmedabad,2010-03-15,,,20,V Sehwag,,2010,Rajasthan Royals,Delhi Daredevils,field,Delhi Daredevils,BG Jerling,RE Koertzen,,"Sardar Patel Stadium, Motera",,6,Delhi Daredevils
Mumbai,2015-05-16,,,20,SR Watson,,2015,Rajasthan Royals,Kolkata Knight Riders,bat,Rajasthan Royals,RM Deshpande,RK Illingworth,,Brabourne Stadium,9,,Rajasthan Royals
Chennai,2008-05-02,,,20,V Sehwag,,2008,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,BF Bowden,K Hariharan,,"MA Chidambaram Stadium, Chepauk",,8,Delhi Daredevils
